id,name,url,category,description,ats_type,job_count,date_added,status
1,RAND Corporation,https://www.rand.org/jobs.html,,,,0,2026-02-16,approved
2,Center on Budget and Policy Priorities,https://www.cbpp.org/careers,,,,0,2026-02-16,rejected
3,Economic Policy Institute,https://www.epi.org/about/jobs/,,,,0,2026-02-16,rejected
4,Resources for the Future,https://www.rff.org/about/careers/,,,,0,2026-02-16,rejected
5,Migration Policy Institute,https://www.migrationpolicy.org/about/careers,,,,0,2026-02-16,rejected
6,Peterson Institute for International Economics,https://www.piie.com/about/careers,,,,0,2026-02-16,rejected
7,Stimson Center,https://www.stimson.org/careers/,,,,0,2026-02-16,rejected
8,Center for a New American Security,https://www.cnas.org/careers,,,,0,2026-02-16,rejected
9,Wilson Center,https://www.wilsoncenter.org/careers,,,,0,2026-02-16,rejected
10,American Enterprise Institute,https://www.aei.org/jobs/,,,,0,2026-02-16,rejected
11,Hudson Institute,https://www.hudson.org/careers,,,,0,2026-02-16,rejected
12,Heritage Foundation,https://www.heritage.org/about-heritage/careers,,,,0,2026-02-16,rejected
13,Mercatus Center,https://www.mercatus.org/careers,,,,0,2026-02-16,rejected
14,Hoover Institution,https://www.hoover.org/about/employment,,,,0,2026-02-16,rejected
15,Center for Global Development,https://www.cgdev.org/page/careers,,,,0,2026-02-16,approved
16,Bipartisan Policy Center,https://bipartisanpolicy.org/about/careers/,,,,0,2026-02-16,rejected
17,R Street Institute,https://www.rstreet.org/careers/,,,,0,2026-02-16,approved
18,Niskanen Center,https://www.niskanencenter.org/careers/,,,,0,2026-02-16,approved
19,Information Technology and Innovation Foundation,https://itif.org/about/careers/,,,,0,2026-02-16,rejected
20,Center for Law and Social Policy,https://www.clasp.org/about/careers/,,,,0,2026-02-16,rejected
21,National Bureau of Economic Research,https://www.nber.org/jobs,,,,0,2026-02-16,rejected
22,Cato Institute,https://www.cato.org/about/careers,,,,0,2026-02-16,rejected
23,Manhattan Institute,https://www.manhattan-institute.org/careers,,,,0,2026-02-16,rejected
24,ACLU,https://www.aclu.org/careers,,,,0,2026-02-16,rejected
25,Southern Poverty Law Center,https://www.splcenter.org/about/careers,,,,0,2026-02-16,rejected
26,NAACP Legal Defense Fund,https://www.naacpldf.org/about-us/careers/,,,,0,2026-02-16,rejected
27,Public Citizen,https://www.citizen.org/about/jobs/,,,,0,2026-02-16,rejected
28,National Immigration Law Center,https://www.nilc.org/about-us/jobs/,,,,0,2026-02-16,rejected
29,Lambda Legal,https://lambdalegal.org/about-us/jobs/,,,,0,2026-02-16,rejected
30,Equal Justice Initiative,https://eji.org/careers/,,,,0,2026-02-16,rejected
31,Innocence Project,https://innocenceproject.org/careers/,,,,0,2026-02-16,rejected
32,Mexican American Legal Defense Fund,https://www.maldef.org/about/careers/,,,,0,2026-02-16,rejected
33,Asian Americans Advancing Justice,https://www.advancingjustice-aajc.org/careers,,,,0,2026-02-16,rejected
34,Equal Justice Works,https://www.equaljusticeworks.org/about/careers/,,,,0,2026-02-16,rejected
35,The Sentencing Project,https://www.sentencingproject.org/about-us/careers/,,,,0,2026-02-16,rejected
36,National Center for State Courts,https://www.ncsc.org/about-us/careers,,,,0,2026-02-16,rejected
37,Institute for Justice,https://ij.org/about-us/careers/,,,,0,2026-02-16,rejected
38,National Women's Law Center,https://nwlc.org/about/careers/,,,,0,2026-02-16,rejected
39,ProPublica,https://www.propublica.org/jobs,,Investigative journalism nonprofit; accountability reporting on government and public interest,,0,2026-02-16,rejected
40,The Marshall Project,https://www.themarshallproject.org/jobs,,Nonprofit newsroom covering criminal justice reporting and reform,,0,2026-02-16,rejected
41,Center for Investigative Reporting,https://revealnews.org/jobs/,,Oldest US investigative newsroom; Reveal podcast and multimedia investigations,,0,2026-02-16,rejected
42,Pulitzer Center,https://pulitzercenter.org/about/employment,,Funds underreported international journalism; grants to freelance journalists,,0,2026-02-16,rejected
43,International Center for Journalists,https://www.icfj.org/about/careers,,Trains journalists globally; strengthens independent media in developing countries,,0,2026-02-16,rejected
